Timestamp,Cpacidad disponible, Capacidad utilizada,% Memoria utilizada 
17:41:39,2650872,1387304,34.35472
17:41:44,2650748,1387428,34.357788
17:41:49,2650748,1387428,34.357788
17:41:54,2650748,1387428,34.357788
17:41:59,2650748,1387428,34.357788
17:42:04,2650376,1387800,34.367
17:42:09,2650376,1387800,34.367
17:42:14,2650376,1387800,34.367
17:42:19,2650376,1387800,34.367
17:42:24,2650376,1387800,34.367
17:42:29,2650376,1387800,34.367
17:42:34,2650376,1387800,34.367
17:42:39,2650376,1387800,34.367
17:42:44,2650376,1387800,34.367
17:42:49,2650376,1387800,34.367
17:42:54,2650376,1387800,34.367
17:42:59,2650376,1387800,34.367
17:43:04,2650376,1387800,34.367
17:43:09,2650376,1387800,34.367
17:43:14,2650376,1387800,34.367
17:43:19,2650376,1387800,34.367
17:43:24,2650376,1387800,34.367
17:43:29,2650376,1387800,34.367
17:43:34,2650376,1387800,34.367
17:43:39,2650376,1387800,34.367
17:43:44,2650376,1387800,34.367
17:43:49,2650376,1387800,34.367
17:43:54,2650376,1387800,34.367
17:43:59,2650376,1387800,34.367
17:44:04,2650004,1388172,34.376213
17:44:09,2650004,1388172,34.376213
17:44:14,2650004,1388172,34.376213
17:44:19,2650004,1388172,34.376213
17:44:24,2650004,1388172,34.376213
17:44:29,2650004,1388172,34.376213
17:44:34,2650004,1388172,34.376213
17:44:39,2650004,1388172,34.376213
17:44:44,2650004,1388172,34.376213
17:44:49,2650004,1388172,34.376213
17:44:54,2650004,1388172,34.376213
17:44:59,2650004,1388172,34.376213
17:45:04,2650128,1388048,34.373142
17:45:09,2650128,1388048,34.373142
17:45:14,2650128,1388048,34.373142
17:45:19,2650128,1388048,34.373142
17:45:24,2650128,1388048,34.373142
17:45:29,2650128,1388048,34.373142
17:45:34,2650128,1388048,34.373142
17:45:39,2650128,1388048,34.373142
17:45:44,2650128,1388048,34.373142
17:45:49,2650128,1388048,34.373142
17:45:54,2650128,1388048,34.373142
17:45:59,2650128,1388048,34.373142
17:46:04,2650376,1387800,34.367
17:46:09,2650376,1387800,34.367
17:46:14,2650376,1387800,34.367
17:46:19,2650376,1387800,34.367
17:46:24,2650252,1387924,34.37007
17:46:29,2650252,1387924,34.37007
17:46:34,2650252,1387924,34.37007
17:46:39,2650252,1387924,34.37007
17:46:44,2650252,1387924,34.37007
17:46:49,2650252,1387924,34.37007
17:46:54,2650252,1387924,34.37007
17:46:59,2650252,1387924,34.37007
17:47:04,2650376,1387800,34.367
17:47:09,2650500,1387676,34.36393
17:47:14,2650500,1387676,34.36393
17:47:19,2650500,1387676,34.36393
17:47:24,2650500,1387676,34.36393
17:47:30,2650500,1387676,34.36393
17:47:35,2650500,1387676,34.36393
17:47:40,2650500,1387676,34.36393
17:47:45,2650500,1387676,34.36393
17:47:50,2650500,1387676,34.36393
17:47:55,2650500,1387676,34.36393
17:48:00,2650500,1387676,34.36393
17:48:05,2650376,1387800,34.367
17:48:10,2650376,1387800,34.367
17:48:15,2650376,1387800,34.367
17:48:20,2650376,1387800,34.367
17:48:25,2650376,1387800,34.367
17:48:30,2650376,1387800,34.367
17:48:35,2650376,1387800,34.367
17:48:40,2650376,1387800,34.367
17:48:45,2650376,1387800,34.367
17:48:50,2650376,1387800,34.367
17:48:55,2650376,1387800,34.367
17:49:00,2650376,1387800,34.367
17:49:05,2650376,1387800,34.367
17:49:10,2650376,1387800,34.367
17:49:15,2650376,1387800,34.367
17:49:20,2650376,1387800,34.367
17:49:25,2650500,1387676,34.36393
17:49:30,2650500,1387676,34.36393
17:49:35,2650500,1387676,34.36393
17:49:40,2650500,1387676,34.36393
