Timestamp,% global CPU,Cpacidad de memoria utilizada,% Memoria utilizada 
18:14:57,6.3,1379556,34.1628
18:14:59,6.3,1379952,34.1727
18:15:01,6.2,1379444,34.1601
18:15:03,6.2,1379764,34.1680
18:15:05,6.2,1380280,34.1808
18:15:07,6.1,1379964,34.1730
18:15:09,6.1,1379952,34.1727
18:15:11,6.0,1380100,34.1763
18:15:13,6.0,1380340,34.1823
18:15:16,6.0,1380008,34.1740
18:15:18,5.9,1380504,34.1863
18:15:20,5.9,1379992,34.1736
18:15:22,5.8,1379944,34.1725
18:15:24,5.8,1379752,34.1677
18:15:26,5.7,1380000,34.1738
18:15:28,5.7,1380288,34.1810
18:15:30,5.7,1380132,34.1771
18:15:32,5.6,1380280,34.1808
18:15:34,5.6,1380264,34.1804
18:15:36,5.5,1380404,34.1838
18:15:38,5.6,1404320,34.7761
18:15:40,5.6,1452304,35.9644
18:15:43,5.6,1492948,36.9709
18:15:45,5.6,1491136,36.9260
18:15:47,5.6,1490376,36.9072
18:15:49,5.5,1490320,36.9058
18:15:51,5.5,1490816,36.9181
18:15:53,5.5,1490608,36.9129
18:15:55,5.4,1490616,36.9131
18:15:57,5.4,1490532,36.9110
18:15:59,5.4,1490432,36.9085
18:16:02,5.3,1490648,36.9139
18:16:04,5.3,1490804,36.9178
18:16:06,5.3,1491052,36.9239
18:16:08,5.2,1490872,36.9194
18:16:10,5.2,1490896,36.9200
18:16:12,5.2,1491244,36.9287
18:16:14,5.1,1490808,36.9179
18:16:16,5.1,1490928,36.9208
18:16:18,5.1,1490772,36.9170
18:16:20,5.0,1490556,36.9116
18:16:22,5.0,1490408,36.9080
18:16:24,5.0,1490308,36.9055
18:16:27,5.0,1490556,36.9116
18:16:29,4.9,1490500,36.9102
18:16:31,4.9,1490500,36.9102
18:16:33,4.9,1490308,36.9055
18:16:35,4.8,1490352,36.9066
18:16:37,4.8,1490412,36.9080
18:16:39,4.8,1491184,36.9272
18:16:41,4.8,1491152,36.9264
18:16:43,4.7,1491292,36.9298
18:16:45,4.7,1491424,36.9331
18:16:47,4.7,1491432,36.9333
18:16:50,4.7,1491200,36.9276
18:16:52,4.6,1490968,36.9218
18:16:54,4.6,1490796,36.9176
18:16:56,4.6,1490908,36.9203
18:16:58,4.6,1491388,36.9322
18:17:00,4.5,1491372,36.9318
18:17:02,4.5,1491768,36.9416
18:17:04,4.5,1491048,36.9238
18:17:06,4.5,1490908,36.9203
18:17:08,4.4,1490952,36.9214
18:17:10,4.4,1491068,36.9243
18:17:13,4.4,1491084,36.9247
18:17:15,4.4,1490968,36.9218
18:17:17,4.4,1490976,36.9220
18:17:19,4.3,1490960,36.9216
18:17:21,4.3,1490788,36.9174
18:17:23,4.3,1490984,36.9222
18:17:25,4.3,1491132,36.9259
